TIPO LOGR,LOGRD,NUMERO,BAIRRO,MUNICIPIO,UF,Latitude,Longitude
SITIO,PITOMBEIRA,450,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
RUA,SINHA DE ALCANTARA,483,DIVISAO,Cedro,CE,-6.6103745,-39.0592504
RUA,VICENTINA DE ALBUQUERQUE,187,FATIMA,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VALDER VIANA,243,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ADAUTO CASTELO,269,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,"DR, FRANCISCO SA",322,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL. JOAO CANDIDO,460,CENTRO,Cedro,CE,-6.60667,-39.06222
AVENIDA,PEDRO LOPES VIEIRA,398,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,JOSE PEJE,394,CENTRO,Cedro,CE,-6.60667,-39.06222
1A RUA,FRANCISCO CHAGAS ALCANTARA,160,ALTO DO PADEIRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE DE ALBUQUERQUE,568,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,JOSE RAIMUNDO,30,DISTRITO LAGEDO,Cedro,CE,-6.51167,-39.05972
1A SUBIDA,RUA OBI JUCA DINIZ,68,PRADO,Cedro,CE,-6.60667,-39.06222
RUA,PADRE SA,101,CENTRO,Cedro,CE,-6.60667,-39.06222
10A RUA,CORONEL JOSE DE ALBUQUERQUE,385,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL. JOAO CANDIDO,195,FATIMA,Cedro,CE,-6.6038793,-39.0611956
SITIO,BAIXIO DO BENTO,SN,DISTRITO SAO MIGUEL,Cedro,CE,-6.56389,-39.20444
RUA,VICENTE VIANA,532,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE  ALBUQUERQUE,517,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ZE PAJE,149,CENTRO,Cedro,CE,-6.60667,-39.06222
AVENIDA,VEREADOR PEDRO LOPES VIEIRA,356,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,SITIO BELISA,032,DISTRITO ASSUNCAO,Cedro,CE,-6.62694,-39.09778
RUA,AZARIAS ALVES DINIZ,405,CENTRO,Cedro,CE,-6.60667,-39.06222
